t,event,method,sid,success,reason,src,dst,L,bw,N,num_paths,latency_ms,cost_total,cost_bw,cost_cpu,emp_reli_pred,fail_idx,new_active,topo_size,sfc_len_group
76,place,BEAR-TORCH,2088,1,,23,10,5,1.4764275430687088,3,3,3.9339197831135078,19.429282629206128,4.429282629206126,15.0,0.9967172526096819,,,,
78,place,BEAR-TORCH,2089,0,no_candidates,29,28,7,1.0364131456791015,0,0,,,,,,,,,
79,place,BEAR-TORCH,2090,0,not_enough_disjoint_paths,8,25,3,0.9992653281562248,5,0,,,,,,,,,
82,place,BEAR-TORCH,2091,0,not_enough_disjoint_paths,8,17,5,0.9461025807395245,5,0,,,,,,,,,
85,place,BEAR-TORCH,2092,0,no_candidates,29,24,7,0.6707371374069365,0,0,,,,,,,,,
86,place,BEAR-TORCH,2093,0,not_enough_disjoint_paths,6,22,3,1.2222581612210806,5,0,,,,,,,,,
88,place,BEAR-TORCH,2094,0,not_enough_disjoint_paths,36,11,5,1.0932118007699834,5,0,,,,,,,,,
89,place,BEAR-TORCH,2095,1,,1,6,3,0.7667520362261908,4,4,6.431899621552015,15.578176169055556,3.578176169055557,12.0,0.9829779116730364,,,,
90,place,BEAR-TORCH,2096,0,not_enough_disjoint_paths,10,2,5,1.077368576374699,5,0,,,,,,,,,
93,place,BEAR-TORCH,2097,0,not_enough_disjoint_paths,9,33,5,0.7159103050378353,5,0,,,,,,,,,
95,place,BEAR-TORCH,2098,1,,7,0,5,0.9651387629344049,4,4,5.237496131938288,22.895416288803215,2.8954162888032147,20.0,0.9919793942071111,,,,
99,place,BEAR-TORCH,2099,0,not_enough_disjoint_paths,19,26,5,1.4325714100391007,5,0,,,,,,,,,
0,place,BEAR-TORCH,2100,1,,26,38,3,1.2146685511753914,2,2,3.6607481595297924,12.073342755876958,6.073342755876958,6.0,0.998309437205605,,,,
1,place,BEAR-TORCH,2101,1,,6,29,7,1.0317564963264803,4,4,6.229168776139694,32.12702598530592,4.127025985305921,28.0,0.9867333133235936,,,,
2,place,BEAR-TORCH,2102,1,,35,37,5,0.7978943700570879,5,5,6.634029265291595,27.593156702685537,2.5931567026855356,25.0,0.9835724242989788,,,,
4,place,BEAR-TORCH,2103,1,,30,26,3,1.2435481393480405,3,3,4.966068005115959,13.974192557392161,4.974192557392162,9.0,0.9948007060618166,,,,
8,place,BEAR-TORCH,2104,1,,17,37,5,0.7758246226806116,2,2,4.914199853576747,14.65494773608367,4.6549477360836695,10.0,0.99760273041997,,,,
10,place,BEAR-TORCH,2105,0,not_enough_disjoint_paths,1,18,5,0.9931431898896342,3,0,,,,,,,,,
11,place,BEAR-TORCH,2106,1,,21,2,3,0.9803131276149737,4,4,6.623293053099609,16.24802355299822,4.2480235529982195,12.0,0.9854182775560629,,,,
12,place,BEAR-TORCH,2107,1,,3,38,7,0.8185211143408108,2,2,4.443287120505998,17.274084457363244,3.274084457363243,14.0,0.9988078092736835,,,,
14,place,BEAR-TORCH,2108,1,,4,20,7,0.7906241880433125,3,3,5.620203172374252,24.16249675217325,3.16249675217325,21.0,0.9943871512307307,,,,
15,place,BEAR-TORCH,2109,1,,0,16,3,0.9301781380506723,4,4,3.662770306180801,14.790534414152017,2.7905344141520168,12.0,0.9921835882200727,,,,
16,place,BEAR-TORCH,2110,1,,21,13,7,1.503614020500735,3,3,5.985187668126444,28.518070102503675,7.518070102503675,21.0,0.9917188269131656,,,,
18,place,BEAR-TORCH,2111,1,,28,11,3,0.8998923386552696,2,2,5.146562382436635,11.399354031931619,5.399354031931618,6.0,0.99760273041997,,,,
19,place,BEAR-TORCH,2112,1,,36,31,3,1.2412302046761952,2,2,3.5920404393420826,10.96492081870478,4.964920818704781,6.0,0.9988078092736835,,,,
21,place,BEAR-TORCH,2113,1,,37,31,3,0.9889522513738506,5,5,4.73056855799609,18.461332879808477,3.461332879808477,15.0,0.9809097625186969,,,,
23,place,BEAR-TORCH,2114,1,,11,3,7,1.2834677301450474,2,2,6.138154439952183,21.700806380870283,7.700806380870285,14.0,0.99760273041997,,,,
24,place,BEAR-TORCH,2115,0,not_enough_disjoint_paths,31,27,5,1.0552886139294397,5,0,,,,,,,,,
25,place,BEAR-TORCH,2116,1,,13,3,3,1.0818071639026872,5,5,5.273104428385144,18.786325073659405,3.7863250736594054,15.0,0.9809097625186969,,,,
28,place,BEAR-TORCH,2117,1,,20,10,5,0.4770854173833061,2,2,3.9868129756133284,11.908341669533225,1.9083416695332245,10.0,0.9988078092736835,,,,
29,place,BEAR-TORCH,2118,1,,34,15,5,1.0554480231075134,4,4,3.9435878311947183,22.814528061620035,2.814528061620036,20.0,0.9933760984869999,,,,
31,place,BEAR-TORCH,2119,1,,13,16,3,0.8837907912848263,4,4,5.997881031286225,16.124357025995856,4.124357025995856,12.0,0.9825962772365573,,,,
32,place,BEAR-TORCH,2120,1,,16,28,7,0.8098305932922857,4,4,5.6132929496909565,30.969378842071713,2.9693788420717144,28.0,0.988653867962263,,,,
33,place,BEAR-TORCH,2121,1,,15,18,7,1.190472257183472,2,2,4.886375516795546,22.333305800284304,8.333305800284304,14.0,0.9969065889007802,,,,
34,place,BEAR-TORCH,2122,0,not_enough_disjoint_paths,36,31,5,1.0015369245773433,4,0,,,,,,,,,
38,place,BEAR-TORCH,2123,1,,1,38,7,0.9849131804154797,4,4,7.363118369368486,32.9245659020774,4.924565902077399,28.0,0.9803846491427584,,,,
39,place,BEAR-TORCH,2124,1,,21,37,5,1.0144260559753981,2,2,4.953220313243951,16.08655633585239,6.086556335852389,10.0,0.99760273041997,,,,
40,place,BEAR-TORCH,2125,1,,34,10,7,0.5523993771590279,4,4,4.684806905125717,29.47306500575741,1.4730650057574077,28.0,0.9933760984869999,,,,
44,place,BEAR-TORCH,2126,0,not_enough_disjoint_paths,33,7,5,1.0054048606224135,5,0,,,,,,,,,
45,place,BEAR-TORCH,2127,1,,32,24,5,1.087843400223131,2,2,4.046667375511638,14.351373600892524,4.351373600892524,10.0,0.9988078092736835,,,,
46,place,BEAR-TORCH,2128,1,,6,2,3,0.8791721646088783,3,3,3.5665398111720568,11.637516493826634,2.637516493826635,9.0,0.9965057560180809,,,,
48,place,BEAR-TORCH,2129,1,,2,8,7,0.648200542077556,3,3,4.278627216725451,23.592802168310225,2.592802168310224,21.0,0.9945954859482874,,,,
49,place,BEAR-TORCH,2130,0,insufficient_capacity,36,22,5,1.2241814209187851,3,3,,,,,,,,,
51,place,BEAR-TORCH,2131,0,not_enough_disjoint_paths,39,18,3,0.9861943405436023,4,0,,,,,,,,,
52,place,BEAR-TORCH,2132,1,,10,6,3,0.7619040222580997,3,3,3.6438997806512616,11.666664077903349,2.666664077903349,9.0,0.9955434275780952,,,,
54,place,BEAR-TORCH,2133,1,,29,33,5,1.0460174097141117,3,3,5.309784735791281,18.66106093399939,3.661060933999391,15.0,0.9957517622956519,,,,
55,place,BEAR-TORCH,2134,0,not_enough_disjoint_paths,18,39,5,0.961773836999211,3,0,,,,,,,,,
56,place,BEAR-TORCH,2135,1,,31,21,5,0.7541134455756764,3,3,6.599800641935181,18.77056722787838,3.770567227878382,15.0,0.9919209789859976,,,,
61,place,BEAR-TORCH,2136,0,not_enough_disjoint_paths,11,14,7,1.1025747552225114,4,0,,,,,,,,,
62,place,BEAR-TORCH,2137,1,,7,25,3,0.7579606107787328,2,2,3.5715071058390744,9.789803053893664,3.789803053893664,6.0,0.998309437205605,,,,
63,place,BEAR-TORCH,2138,1,,4,38,5,1.0521767801265662,2,2,3.726184490910494,14.208707120506265,4.208707120506265,10.0,0.9988078092736835,,,,
65,place,BEAR-TORCH,2139,0,not_enough_disjoint_paths,2,36,3,0.9439346848729927,4,0,,,,,,,,,
66,place,BEAR-TORCH,2140,1,,21,38,7,0.8555531630718213,2,2,5.760177154990928,19.13331897843093,5.133318978430927,14.0,0.99760273041997,,,,
67,place,BEAR-TORCH,2141,1,,34,1,7,1.2647778796736113,4,4,6.05836907373029,33.48070414525232,5.480704145252316,28.0,0.9846492166574965,,,,
68,place,BEAR-TORCH,2142,0,not_enough_disjoint_paths,24,31,5,1.1778155135436765,5,0,,,,,,,,,
70,place,BEAR-TORCH,2143,1,,2,36,5,1.1681384601789313,2,2,5.656895607643524,17.00883076107359,7.008830761073588,10.0,0.99760273041997,,,,
73,place,BEAR-TORCH,2144,1,,23,14,3,0.7706772568006894,2,2,2.0859478452598808,9.082709027202757,3.0827090272027577,6.0,0.9990268696056204,,,,
74,place,BEAR-TORCH,2145,0,not_enough_disjoint_paths,1,36,5,1.1047800979332099,5,0,,,,,,,,,
75,place,BEAR-TORCH,2146,1,,25,29,7,0.6941278529245578,2,2,5.832104472457785,18.16476711754735,4.164767117547347,14.0,0.99760273041997,,,,
77,place,BEAR-TORCH,2147,1,,15,16,5,0.7911224404192596,5,5,5.3042261636406005,27.76892854146741,2.7689285414674085,25.0,0.9809097625186969,,,,
78,place,BEAR-TORCH,2148,0,insufficient_capacity,2,8,3,0.9661563419146946,4,4,,,,,,,,,
79,place,BEAR-TORCH,2149,1,,6,18,5,1.317179997209882,2,2,3.9615384016196913,19.220259980469173,9.220259980469175,10.0,0.9973349336692985,,,,
81,place,BEAR-TORCH,2150,0,not_enough_disjoint_paths,19,27,7,1.0655182836535588,4,0,,,,,,,,,
84,place,BEAR-TORCH,2151,1,,30,15,3,0.9289391185951306,3,3,3.020722606994752,11.786817355785391,2.7868173557853915,9.0,0.9967172526096819,,,,
85,place,BEAR-TORCH,2152,1,,17,15,3,1.1191505100649546,2,2,1.9553074018697187,9.357451530194863,3.3574515301948638,6.0,0.9993137450820978,,,,
86,place,BEAR-TORCH,2153,0,not_enough_disjoint_paths,39,25,5,1.0151307485686512,3,0,,,,,,,,,
88,place,BEAR-TORCH,2154,0,not_enough_disjoint_paths,7,9,7,1.3465706065083491,5,0,,,,,,,,,
89,place,BEAR-TORCH,2155,0,insufficient_capacity,1,15,3,0.8154441201964688,2,2,,,,,,,,,
90,place,BEAR-TORCH,2156,1,,21,0,3,0.9313044188370633,5,5,4.726186653542269,18.25956546592972,3.2595654659297213,15.0,0.9809097625186969,,,,
92,place,BEAR-TORCH,2157,1,,31,7,3,1.1189185512530377,3,3,4.741616670544262,13.475674205012151,4.475674205012151,9.0,0.9943871512307307,,,,
93,place,BEAR-TORCH,2158,1,,13,17,3,0.8551221095092995,2,2,5.581963375806453,11.130732657055797,5.1307326570557965,6.0,0.99760273041997,,,,
94,place,BEAR-TORCH,2159,1,,10,18,5,1.0810988150655572,2,2,4.0821811355796305,16.486592890393343,6.486592890393343,10.0,0.9978185157999445,,,,
